state,district,juv_ipc_offences_against_women_and_child_rape_section_64_to_section_71_bns_section_376_ipc,juv_ipc_attempt_to_commit_rape_section_64_6870_71_rw_sec_62_bns_sec_376_rw_511_ipc,juv_ipc_sexual_intercourse_by_employing_deceitful_means_section_69_bns,juv_ipc_disclosure_of_identity_of_victim_section_721_bns,juv_ipc_assault_or_use_of_criminal_force_to_woman_with_intent_to_outrage_her_modesty_section_74_bnssec_354_ipc,juv_ipc_sexual_harassment_section_75_bns_section_354a_ipc_sexual_harassment_total_abcdef,juv_ipc_a_at_office_premises,juv_ipc_b_at_work_premises_shopsmallsfactorieshome_etc,juv_ipc_c_in_public_transport_system,juv_ipc_d_public_placespathway,juv_ipc_e_in_shelter_homes_for_women_children,juv_ipc_f_in_any_other_place,juv_ipc_assault_or_use_of_criminal_force_to_women_with_intent_to_disrobe_section_76_bns_section_354b_ipc,juv_ipc_voyeurism_section_77_bns_section_354c_ipc,juv_ipc_stalking_section_78_bns_section_354d_ipc,juv_ipc_insult_modesty_of_women_section_79_bns_section_509_ipc,juv_ipc_dowry_death_section_80_bnssection_304b_ipc,juv_ipc_cruelty_by_husband_or_relatives_section_85_bnssection_498_a_ipc,juv_ipc_kidnapping_abducting_or_inducing_women_to_compel_her_for_marriage_section_87_bnssection_366_ipc,juv_ipc_offences_of_miscarriage_section_89_and_90_bnssection_313_and_314_ipc,juv_ipc_foeticide_section_91_bnssection_315_ipc,juv_ipc_infanticide_section_92_bnssection_316_ipc,juv_ipc_exposure_and_abandonment_section_93_94_bnssection_317_318_ipc,juv_ipc_hiring_employing_or_engaging_a_child_to_commit_an_offence_section_95_bns,juv_ipc_procuration_of_children_section_96_bnssection_366a_ipc,juv_ipc_kidnapping_or_abducting_child_with_intent_to_steal_from_its_persons_section_97_bnssection_369_ipc,juv_ipc_selling_of_child_for_prostitution_section_98_bns_section_372_ipc,juv_ipc_buying_of_child_for_prostitution_section_99_bns_section_373_ipc,juv_ipc_a_offences_against_woman_and_child_total,juv_ipc_offences_affecting_human_body_murder_murder_section_103_1_bns_section_302_ipc_total_abc,juv_ipc_a_murder_section_103_1_bnssection_302_ipc,juv_ipc_b_murder_by_group_of_5_or_more_persons_section_103_2_bns,juv_ipc_c_murder_by_life_convict_section_104_bns,juv_ipc_culpable_homicide_not_amounting_to_murder_section_105_bnssection_304_ipc,juv_ipc_causing_death_by_negligence_section_106_bns_section_304_a_ipc_causing_death_by_negligence_total_abcde,juv_ipc_a_deaths_due_to_negligence_relating_to_road_accidents,juv_ipc_col_39,juv_ipc_b_deaths_due_to_negligence_relating_to_rail_accidents,juv_ipc_c_deaths_due_to_medical_negligence,juv_ipc_d_deaths_due_to_negligence_of_civic_bodies,juv_ipc_e_deaths_due_to_other_negligence,juv_ipc_abetment_of_suicidesection_107108_bns_section_305306_ipc,juv_ipc_attempt_to_commit_murder_section_109_bnssection_307_ipc,juv_ipc_attempt_to_commit_culpable_homicide_section_110_bnssection_308_ipc,juv_ipc_organised_crime_section_111_bns,juv_ipc_petty_organised_crime_section_112_bns,juv_ipc_terrorist_act_section_113_bns,juv_ipc_hurt_or_grievous_hurt_hurt_or_grievous_hurt_total_a_to_i,juv_ipc_a_voluntarily_causing_grievous_hurt_section_1172_bnssection_325_ipc,juv_ipc_b_grievous_hurt_resulting_persistent_vegetative_state_or_permanent_disability_section_1173_bns,juv_ipc_c_grievous_hurt_caused_by_a_group_of_5_or_more_persons_section_1174bns,juv_ipc_d_voluntarily_causing_hurt_or_grievous_hurt_by_dangerous_weapons_or_meanssec11812_bns,juv_ipc_e_voluntarily_causing_hurt_or_grievous_hurtassault_or_criminal_force_to_deter_public_servant_from_his_duty_section_12111212_or_12112rw_sec_132_bns,juv_ipc_f_acid_attack_section_124_1_bnssection_326a_ipc,juv_ipc_g_attempt_to_acid_attack_section_124_2_bnssection_326b_ipc,juv_ipc_h_act_endangering_life_or_personal_safety_of_others_section_125_a_bbns_section_336_338_ipc,juv_ipc_i_other_sections_of_hurt_section_119_1_21201_21222_123_bns_section_327_331_334_335_ipc,juv_ipc_wrongful_restraintconfinement_126_127_bnssection_341_to_348_ipc,juv_ipc_kidnapping_abduction_section_137_142_bnssection_363_369_ipc_kidnapping_abduction_section_137_142_bnssection_363_369_ipc_total_a_to_f,juv_ipc_a_ka_section_137_138_bnssection_363_ipc,juv_ipc_col_63,juv_ipc_col_64,juv_ipc_col_65,juv_ipc_b_k_a_for_the_purpose_of_begging_section_139_bnssection_363a_ipc,juv_ipc_c_ka_in_order_to_murder_section_1401_bnssection_364_ipc,juv_ipc_d_kidnapping_for_ransom_etc_section_1402_bnssection_364a_ipc,juv_ipc_e_importation_of_girl_or_boy_from_foreign_country_section_141_bnssection_366_b_ipc,juv_ipc_col_70,juv_ipc_col_71,juv_ipc_f_other_kidnapping_abduction_sec_1403_1404_142_bnssection_365_367_368_ipc,juv_ipc_offences_affecting_the_human_body_total,juv_ipc_offences_against_state_offences_against_state_ab,juv_ipc_a_act_endangering_sovereignty_unity_and_integrity_of_india_sec_152_bns,juv_ipc_b_other_offences_against_state_section_147_151_section_153_158_bns_section_121121a_122123_ipc,juv_ipc_offences_against_the_state_total,juv_ipc_offences_against_public_tranquillity_unlawful_assembly_section_189_2_3_4_bnssection_143_145_ipc,juv_ipc_rioting_section_190_1896_1895_19121913_bnssection_147_151_ipc_rioting_total_a_to_r,juv_ipc_a_communalreligious,juv_ipc_b_ethnic_or_community_group_clash_or_agitations,juv_ipc_c_sectarian_riots_between_sects_of_same_religion,juv_ipc_d_industrial,juv_ipc_e_political,juv_ipc_f_caste_conflict,juv_ipc_g_agrarian,juv_ipc_h_students,juv_ipc_i_money_dispute,juv_ipc_j_water_dispute,juv_ipc_k_landproperty_dispute,juv_ipc_l_family_disputes,juv_ipc_m_enmityrivalry,juv_ipc_n_electristateutpower_supply_disputes,juv_ipc_o_sudden_quarrelprovocation,juv_ipc_p_rioting_while_in_aandolanmorcha,juv_ipc_q_riotingattacks_on_police_personnelother_government_servants,juv_ipc_r_other_rioting,juv_ipc_promoting_enmity_between_groups_on_ground_of_religion_race_place_of_birth_etc_sec_196_bnssection_153a_ipc,juv_ipc_imputation_assertions_prejudicial_to_national_integration_section_197_bnssection_153b_ipc,juv_ipc_affray_section_194_bns,juv_ipc_offences_against_public_tranquillity_total,juv_ipc_offences_against_property_theft_section_303305_307_bnssection_379_382_ipc_theft_total_a_to_g,juv_ipc_a_household_theft_dwelling_unitshouses_section_305a_bns,juv_ipc_b_vehicle_theft_section_305bbns,juv_ipc_c_theft_from_vehicles_section_305cbns,juv_ipc_d_theft_of_idol_or_icon_from_place_of_worship_section_305dbns,juv_ipc_e_theft_of_government_property_section_305_ebns,juv_ipc_f_theft_by_servantemployee_section_306_bns,juv_ipc_g_other_thefts_section_3032305307_bnsipc,juv_ipc_snatching_section_304_bns,juv_ipc_extortion_section_308_bnssection_384_389_ipc,juv_ipc_robbery_section_309_4_3096_311_bnssection_392394397_ipc,juv_ipc_dacoity_section_310_2_3311_bnssection_395397_ipc_dacoity_total_ab,juv_ipc_a_dacoity_sec3102_bnssection_395397_ipc,juv_ipc_b_dacoity_with_murder_section_3103311_bnssection_396_ipc,juv_ipc_attempt_to_commit_dacoityrobbery_section_3095_312_bnssection_393398_ipc,juv_ipc_making_preparation_and_assembly_for_committing_dacoity_section_3104_3105_bnssection_399_402_ipc,juv_ipc_criminal_misappropriation_section_314_315_rw_other_bns_crimessection_403404_ipc,juv_ipc_criminal_breach_of_trust_section_316_bnssection_406_409_ipc,juv_ipc_dishonestly_receivingdealing_in_stolen_property_section_317_bnssection_411_414_ipc,juv_ipc_burglary_section_3294332_334_rw_section_303_or_331_rw_305_bnssection_454_460_rw_380_ipc_burglary_total_ab,juv_ipc_a_day_burglary,juv_ipc_b_night_burglary,juv_ipc_offences_against_property_total,juv_ipc_offences_relating_to_documents_property_marks_counterfeiting_counterfeiting_total_abcd,juv_ipc_a_counterfeit_coin_section_178_181187_188_bnssection_231_235_237_238_240_242_254_ipc,juv_ipc_b_counterfeiting_government_stamp_section_178_181_183_186_bnssection_255_260_ipc,juv_ipc_c_counterfeiting_of_seal_or_mark_section_341_1234_bnssection_472473_ipc,juv_ipc_d_counterfeit_currency_bank_notes_section_178_181_bnssection_489_a_to_489_e_ipc,juv_ipc_forgery_cheating_fraud_forgery_cheating_fraud_total_abc,juv_ipc_a_fraud_section_3184_rw_section_336234_3402_bnsit_actsection_420_rw_465468_471_ipcit_act,juv_ipc_col_132,juv_ipc_col_133,juv_ipc_col_134,juv_ipc_col_135,juv_ipc_b_cheating_section_318_4_bnssection_420_ipc_cases_not_included_under_49a,juv_ipc_c_forgery_section_338336343402339_bnssection_467_469471_474_ipc,juv_ipc_offences_relating_to_documents_property_marks_total,juv_ipc_miscellaneous_ipcbns_crimes_abetment_outside_india_for_offence_in_india_section_48_bns,juv_ipc_offences_relating_to_elections_section_173_to_177_bnssections_171_e_to_171_i_ipc,juv_ipc_disobedience_to_order_duly_promulgated_by_public_servant_section_223_bnssection_188_ipc,juv_ipc_harbouring_an_offender_section_249253254_bnssection_212216216a_ipc,juv_ipc_rash_driving_on_public_way_section_281_or_section_281_rw_section_125ab_bnssection_279_or_279_rw_336_338_ipc,juv_ipc_obstruction_on_public_way_section_285_bnssection_283_ipc,juv_ipc_sale_of_obscene_booksobjects_section_294_295_bnssection_292_293_ipc,juv_ipc_obscene_acts_and_songs_at_public_places_section_296_bnssection_294_ipc,juv_ipc_offences_relating_to_religion_section_298_to_301_bnssection_295_297_ipc,juv_ipc_cheating_by_impersonation_section_319_bnssection_419_ipc,juv_ipc_offences_related_to_mischief32456326abcd_bnssection_428_433_ipc,juv_ipc_arson_section_326f326g_327_2_bnssection_435436_438_ipc,juv_ipc_criminal_trespass_section_3293_bnssection_447_252_ipc,juv_ipc_circulate_falsefake_newsrumours_section_353_bns_section_353_rw_it_actsection_505_ipc_rw_it_act,juv_ipc_miscellaneous_ipcbns_crimes_total,juv_ipc_other_ipcbns_crimes,juv_ipc_total_cognizable_ipcbns_crimes
Andhra Pradesh,Ntr,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,14,0,0,0,11,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,26,0,0,0,0,7,3,1,3,0,0,0,0,0,0,0,0,13,2,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,9,0,89
Andhra Pradesh,Palnadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Parvathipuram Manyam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Andhra Pradesh,Prakasam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Andhra Pradesh,Sri Sathya Sai,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,4,35
Andhra Pradesh,Srikakulam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,29
Andhra Pradesh,Tirupati,3,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,11,2,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Andhra Pradesh,Viiayawada Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Andhra Pradesh,Visakhapatnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,3,0,0,0,0,23,0,0,3,1,1,0,0,0,0,0,0,10,1,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50
Andhra Pradesh,Vizianagaram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
Andhra Pradesh,West Godavari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Andhra Pradesh,Ysr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,10
Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Changlang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Crime Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kameng West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Kurung Kumey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lohit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Longding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Lower Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Papum Pare Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,Siang East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Siang Upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
